tic,conm,fyear,sale,cogs,ni,at,sich
PSX,PHILLIPS 66,2020,64129.0,62734.0,-3975.0,54721.0,2911
BATL,BATTALION OIL CORP,2020,148.289,327.032,-229.707,346.497,1311
HRST,HARVEST OIL & GAS CORP,2020,26.259,27.794,-8.875,46.859,1311
GSPE,GULFSLOPE ENERGY INC,2020,0.0,2.425,-2.416,16.075,1311
REI,RING ENERGY INC,2020,113.025,320.894,-253.412,663.456,1311
SD,SANDRIDGE ENERGY INC,2020,114.976,271.464,-277.353,260.832,1311
TCRRF,TERRACE ENERGY CORP,2020,0.0,0.0,-5.17,1.22,1311
OILY,SINO AMERICAN OIL CO,2020,0.0,0.0,-0.098,0.0,1311
CVI,CVR ENERGY INC,2020,3930.0,3851.0,-256.0,3978.0,2911
EPSN,EPSILON ENERGY LTD,2020,24.425,10.255,0.875,86.676,1311
BIP,BROOKFIELD INFRS PTRS LP,2020,8885.0,5155.0,394.0,61331.0,4911
ETR8,ENTERGY TEXAS INC,2020,1587.125,1162.538,215.073,6227.071,4911
NMEX,NORTHERN MINERALS & EXPL LTD,2020,0.003,0.191,-0.035,0.047,1311
KGEI,KOLIBRI GLOBAL ENERGY INC,2020,9.582,74.699,-70.41,82.184,1311
DUK5,DUKE ENERGY CAROLINAS LLC,2020,7015.0,4200.0,956.0,45048.0,4911
MMEX,MMEX RESOURCES CORP,2020,0.0,0.0,-24.527,0.841,2911
LOONF,LOON ENERGY CORP,2020,0.0,0.0,0.098,0.009,1311
DENR,DISCOVERY ENERGY CORP,2020,0.0,0.0,-6.084,2.941,1311
CPXWF,CAPITAL POWER CORP,2020,1791.0,749.0,136.0,8911.0,4911
PARXF,PAREX RESOURCES INC,2020,527.925,191.17,99.322,1541.081,1311
CHRD,CHORD ENERGY CORP,2020,1083.334,5072.12,-3690.24,2159.037,1311
VLERF,VALEURA ENERGY INC,2020,7.395,17.82,-19.534,54.857,1311
TRCH,TORCHLIGHT ENERGY RESOURCES,2020,0.193,2.296,-12.782,32.397,1311
VOC,VOC ENERGY TRUST,2020,5.006,0.0,3.825,19.012,1311
KOS,KOSMOS ENERGY LTD,2020,804.033,492.436,-411.586,3867.593,1311
MPC,MARATHON PETROLEUM CORP,2020,69779.0,66401.0,-9826.0,85158.0,2911
CIVI,CIVITAS RESOURCES INC,2020,218.09,57.624,103.528,1182.812,1311
MTDR,MATADOR RESOURCES CO,2020,862.126,957.268,-593.205,3687.28,1311
VTLE,VITAL ENGY INC,2020,677.192,1254.477,-874.173,1442.61,1311
HPMCF,AFRICA ENERGY CORP,2020,0.0,0.0,-4.263,244.034,1311
STRXF.1,STRATA-X ENERGY LTD,2020,0.007,0.704,-1.201,1.743,1311
AMPY,AMPLIFY ENERGY CORP,2020,202.144,580.835,-464.03,384.759,1311
PBF,PBF ENERGY INC,2020,15115.9,16521.4,-1392.4,10499.8,2911
ECAOF,ECO ATLANTIC OIL & GAS LTD,2020,0.0,0.0,-3.631,16.929,1311
AXIA,AXIA ENERGIA SA,2020,5531.064,4537.622,1205.608,34039.114,4911
ENLAY,ENEL SPA,2020,78332.009,60486.268,3146.057,197023.958,4911
OGZPY,GAZPROM PJSC,2020,83556.85,65740.168,1788.905,308663.577,2911
LUKOY,PJSC LUKOIL,2020,68667.598,56874.25,200.58,79195.253,2911
NGG,NATIONAL GRID,2020,20359.55,13978.507,2259.264,92596.762,4911
PAM,PAMPA ENERGIA SA,2020,1071.0,569.0,-367.0,4890.0,4911
EQNR,EQUINOR ASA,2020,45753.0,34830.0,-5510.0,121972.0,2911
ENGIY,ENGIE SA,2020,67201.475,56671.223,-1851.473,184643.438,4911
PBR,PETROLEO BRASILEIRO SA- PETR,2020,53683.0,28616.0,1141.0,190010.0,2911
LONE,LONESTAR RESOURCES US INC,2020,116.227,234.679,-118.855,423.315,1311
SNDEQ,SUNDANCE ENERGY AUSTRALIA,2020,91.812,382.866,-370.462,415.939,1311
GPRK,GEOPARK LTD,2020,393.692,258.936,-232.95,960.266,1311
TETHF,TETHYS PETROLEUM LTD,2020,13.04,60.409,-38.521,53.817,1311
EC,ECOPETROL SA,2020,14161.49,8233.693,447.395,38825.625,2911
ITEEF,I3 ENERGY PLC,2020,17.444,10.843,15.735,233.81,1311
VIST,VISTA ENERGY SAB DE CV,2020,273.938,123.831,-102.749,1372.612,1311
CSTPF,ARROW EXPLORATION CORP,2020,5.321,33.22,-32.233,33.532,1311
PNW,PINNACLE WEST CAPITAL CORP,2021,3803.835,2347.65,618.72,22003.222,4911
SO1,ALABAMA POWER CO,2021,6413.0,3748.0,1253.0,32982.0,4911
HES,HESS CORP,2021,7473.0,3435.0,559.0,20515.0,1311
AEP,AMERICAN ELECTRIC POWER CO,2021,16792.0,10594.0,2488.1,87668.7,4911
APA,APA CORP,2021,8079.0,3337.0,973.0,13303.0,1311
AEP1,APPALACHIAN POWER,2021,3105.2,2009.6,348.9,14088.9,4911
TREC,TRECORA RESOURCES,2021,272.69,227.699,4.963,293.54,2911
PNW1,ARIZONA PUBLIC SERVICE CO,2021,3803.835,2334.101,632.279,21909.656,4911
ETR1,ENTERGY ARKANSAS,2021,2338.59,1461.977,316.576,12565.119,4911
BRN,BARNWELL INDUSTRIES,2021,18.105,12.199,6.253,24.435,1311
BP,BP PLC,2021,157739.0,120004.0,7565.0,287272.0,2911
DUK8,PROGRESS ENERGY INC,2021,11057.0,6737.0,1598.0,61842.0,4911
